NHPDPropertyID,PropertyName,PropertyAddress,City,State,Zip,CBSACode,CBSAType,County,CountyCode,CensusTract,CongressionalDistrict,Latitude,Longitude,ReacScore1,ReacScore2,TargetTenantType,S8_1_ProgramName,S8_1_AssistedUnits,S8_1_RentToFMR,LIHTC_1_ProgramName,S8_2_ID
1027246,CASITAS DEL MAR I,1324 E Hellman St,Long Beach,CA,90813-4981,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576402,47,33.78,-118,54c,79b,Family,Sec 8 NC,4,72.83,,
1027258,PLYMOUTH WEST,240 Chestnut Ave,Long Beach,CA,90802-2949,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575902,47,33.77,-118,82b*,84c,Elderly,LMSA,137,109.26,4% Tax Credit,
1027278,NEW HOPE HOME,1150 E New York St,Long Beach,CA,90813-2217,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575201,47,33.78,-118,80c,88c,Elderly,LMSA,140,86.1,4% Tax Credit,
1027286,COVENANT MANOR,600 E 4th St,Long Beach,CA,90802-2681,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576200,47,33.77,-118,90b,90b,Elderly,202/8 NC,100,102.36,4% Tax Credit,
1027293,PROVIDENCE GARDENS,1011 Pine Ave,Long Beach,CA,90813-3149,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575803,47,33.78,-118,98b,90c,Elderly,LMSA,157,111.52,4% Tax Credit,
1027314,CASITAS DEL MAR III,1430 E 17th St,Long Beach,CA,90813-2312,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575201,47,33.79,-118,53c*,60b*,Family,Sec 8 NC,3,74,,
1027335,ST MARY'S TOWER,1120 Atlantic Ave,Long Beach,CA,90813-3378,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576302,47,33.78,-118,97c,69c,Elderly,202/8 NC,148,101.37,,
1027462,LONG BEACH SENIOR HOUSING,575 E Vernon St,Long Beach,CA,90806-3180,31080,Metropolitan Statistical Area,Los Angeles,6037,6037573201,47,33.8,-118,92b,91b,Elderly,PRAC/202,65,48.9,,
1028107,CITYVIEW APARTMENTS (FKA BRETHREN MANOR),3333 Pacific Pl,Long Beach,CA,90806-1259,31080,Metropolitan Statistical Area,Los Angeles,6037,6037572201,47,33.82,-118,92b,92b,,,,,4% Tax Credit,
1028297,BEECHWOOD TERRACE,1117 Elm Ave,Long Beach,CA,90813-3299,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576301,47,33.78,-118,,,Family,,,,9% Tax Credit,
1028393,PACIFIC COURT APARTMENTS,250 Pacific Ave,Long Beach,CA,90802-3000,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575902,47,33.77,-118,,,,,,,4% Tax Credit,
1028430,CAMBRIDGE PLACE,421 W 33rd St,Long Beach,CA,90806-7386,31080,Metropolitan Statistical Area,Los Angeles,6037,6037572201,47,33.82,-118,,,Family,,,,9% Tax Credit,
1028562,SEA GATE VILLAGE,1450 Locust Ave,Long Beach,CA,90813-5626,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575402,47,33.78,-118,,,Elderly or disabled,,,,9% Tax Credit,
1029070,VILLAGES AT CABRILLO,2001 River Ave,Long Beach,CA,90810-3622,31080,Metropolitan Statistical Area,Los Angeles,6037,6037572800,47,33.79,-118,,,,,,,9% Tax Credit,
1029202,SPRINGDALE WEST APARTMENTS I & II,3120 N Springdale Dr,Long Beach,CA,90810-2696,31080,Metropolitan Statistical Area,Los Angeles,6037,6037572500,47,33.82,-118,90b,84c,Family,LMSA,186,83.95,4% Tax Credit,CA16M000304
1029516,FAMILY COMMONS AT CABRILLO,2111 W Williams St,Long Beach,CA,90810-3627,31080,Metropolitan Statistical Area,Los Angeles,6037,6037572800,47,33.79,-118,,,Family,,,,9% Tax Credit,
1029568,GRISHAM COMMUNITY HOUSING,11 W 49th St,Long Beach,CA,90805-7704,31080,Metropolitan Statistical Area,Los Angeles,6037,6037571701,44,33.85,-118,,,Family,,,,4% Tax Credit,
1029741,DECRO LONG BEACH,745 Alamitos Ave,Long Beach,CA,90813-4700,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576401,47,33.78,-118,,,Family,,,,4% Tax Credit,
1029889,PACIFIC CITY LIGHTS,1643 Pacific Ave,Long Beach,CA,90813-6703,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575401,47,33.79,-118,,,Family,,,,9% Tax Credit,
1030193,EVERGREEN APARTMENTS,1528 Freeman Ave,Long Beach,CA,90804-1774,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575103,47,33.79,-118,,,,,,,4% Tax Credit,
1030854,ELM AVENUE APARTMENTS,530 Elm Ave,Long Beach,CA,90802-2413,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576200,47,33.77,-118,,,,,,,9% Tax Credit,
1030955,PUERTO DEL SOL APARTMENTS,745 W 3rd St,Long Beach,CA,90802-2709,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575901,47,33.77,-118,,,Family,,,,4% Tax Credit,
1031173,LONG BEACH BURNETT APARTMENTS,2355 Long Beach Blvd,Long Beach,CA,90806-3289,31080,Metropolitan Statistical Area,Los Angeles,6037,6037573100,47,33.8,-118,,,Family,,,,9% Tax Credit,
1031574,CASITAS DEL MAR IV,851 Martin Luther King Jr Ave,Long Beach,CA,90813-4733,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576302,47,33.78,-118,81a*,95a,Family,Sec 8 NC,2,76.45,,
1031620,PALACE HOTEL,2640 E Anaheim St,Long Beach,CA,90804-1209,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576903,47,33.78,-118,,,,,,,TCEP,
1031667,COURTYARDS IN LONG BEACH,1027 Redondo Ave,Long Beach,CA,90804,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576903,47,33.78,-118,,,,,,,9% Tax Credit,
1032798,LONG BEACH SENIOR ARTISTS COLONY,200 E Anaheim St,Long Beach,CA,90813-5432,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576301,47,33.78,-118,,,Elderly or disabled,,,,4% Tax Credit,
1032799,LONG BEACH & ANAHEIM,225 E 12th St,Long Beach,CA,90813-3190,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576301,47,33.78,-118,,,Elderly or disabled,,,,9% Tax Credit,
1102597,CABRILLO GATEWAY,2000 San Gabriel Ave,Long Beach,CA,90810-3601,31080,Metropolitan Statistical Area,Los Angeles,6037,6037572800,47,33.79,-118,,,Family,,,,9% Tax Credit,
1103443,RAMONA PARK SENIOR,3290 E Artesia Blvd,Long Beach,CA,90805-7000,31080,Metropolitan Statistical Area,Los Angeles,6037,6037570204,44,33.87,-118,,,Elderly or disabled,,,,4% Tax Credit,
1104052,LONG BEACH + 21ST APARTMENTS,2114 Long Beach Blvd,Long Beach,CA,90806-4814,31080,Metropolitan Statistical Area,Los Angeles,6037,6037573202,47,33.8,-118,,,Elderly or disabled,,,,,
1127126,IMMANUEL PLACE (FKA IMMANUEL SENIOR HOUSING),3215 E 3rd St,Long Beach,CA,90814-2511,31080,Metropolitan Statistical Area,Los Angeles,6037,6037577100,47,33.77,-118,,,Elderly or disabled,,,,9% Tax Credit,
1162222,BEACON PLACE,1201 Long Beach Blvd,Long Beach,CA,90813-3435,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576301,47,33.78,-118,,,,,,,9% Tax Credit,
1000045,WESTERN GARDENS,1742 W 84th Pl,Los Angeles,CA,90047-3065,31080,Metropolitan Statistical Area,Los Angeles,6037,6037238100,37,33.96,-118,83b,77b,Family,Sec 8 NC,35,90.06,,
1000047,GEORGE MCDONALD COURT APARTMENTS,1800 E 92nd St,Los Angeles,CA,90002-2461,31080,Metropolitan Statistical Area,Los Angeles,6037,6037242200,44,33.95,-118,90b,90b,Elderly,PRAC/202,60,59.68,,
1000049,SUBSIDIZED HOUSING CORPORATION 4,232 S Avenue 56,Los Angeles,CA,90042-4610,31080,Metropolitan Statistical Area,Los Angeles,6037,6037183820,34,34.11,-118,98a,97a,Family,Sec 8 NC,1,60.22,,CA160060023
1000051,ST NICHOLAS CEDARS MANOR,2323 W 4th St,Los Angeles,CA,90057-2748,31080,Metropolitan Statistical Area,Los Angeles,6037,6037208802,34,34.06,-118,93b*,93b*,Elderly,Sec 8 NC,26,87.75,,
1000053,MIDWILSHIRE APARTMENTS,2826 S La Salle Ave,Los Angeles,CA,90018-3184,31080,Metropolitan Statistical Area,Los Angeles,6037,6037222200,37,34.03,-118,89b,89b,Family,LMSA,7,90.09,,CA16L000001
1000054,SUBSIDIZED HOUSING CORPORATION 44,5415 Geer St,Los Angeles,CA,90016-3323,31080,Metropolitan Statistical Area,Los Angeles,6037,6037219901,37,34.03,-118,80c,87b,Family,Sec 8 NC,1,60.3,,CA160068019
1000056,E VICTOR VILLA,555 W 92nd St,Los Angeles,CA,90044-5654,31080,Metropolitan Statistical Area,Los Angeles,6037,6037240300,43,33.95,-118,73c*,75c*,Elderly,LMSA,42,85.05,4% Tax Credit,
1000058,MARIPOSA MANOR,756 S Mariposa Ave,Los Angeles,CA,90005-2082,31080,Metropolitan Statistical Area,Los Angeles,6037,6037212304,34,34.06,-118,94b,94b,Elderly,PRAC/202,69,43.17,,
1000060,DIANE APARTMENTS,782 N Van Ness Ave,Los Angeles,CA,90038-3136,31080,Metropolitan Statistical Area,Los Angeles,6037,6037191710,28,34.09,-118,86c,70c,Family,Sec 8 SR,61,95.94,,
1000168,HOLLYWOOD PARKVIEW APARTMENTS,1244 S Lake St,Los Angeles,CA,90006-3668,31080,Metropolitan Statistical Area,Los Angeles,6037,6037209810,34,34.05,-118,84c*,94b,Family,LMSA,32,43.3,,
1001174,ONE SANTA FE,100 N Santa Fe Ave,Los Angeles,CA,90012-4021,31080,Metropolitan Statistical Area,Los Angeles,6037,6037206031,34,34.05,-118,69c,66c*,,,,,4% Tax Credit,
